Date	Time	(m)
2015/04/16	17:00:00	0
2015/04/16	17:10:00	0.01012
2015/04/16	17:20:00	0.01518
2015/04/16	17:30:00	0.00858
2015/04/16	17:40:00	0.00682
2015/04/16	17:50:00	0.0088
2015/04/16	18:00:00	0.00374
2015/04/16	18:10:00	0.00242
2015/04/16	18:20:00	0.00044
2015/04/16	18:30:00	0
2015/04/16	18:40:00	0.00022
2015/04/16	18:50:00	0
2015/04/16	19:00:00	0
2015/04/16	19:10:00	0
2015/04/16	19:20:00	0
2015/04/16	19:30:00	0
2015/04/16	19:40:00	0
2015/04/16	19:50:00	0
2015/04/16	20:00:00	0
2015/04/16	20:10:00	0
2015/04/16	20:20:00	0
2015/04/16	20:30:00	0.00066
2015/04/16	20:40:00	0
2015/04/16	20:50:00	0
