Date	Time	(m)
2015/04/16	17:00:48	0.182
2015/04/16	17:05:48	0.184
2015/04/16	17:10:48	0.405
2015/04/16	17:15:48	1.123
2015/04/16	17:20:48	0.982
2015/04/16	17:25:48	0.801
2015/04/16	17:30:48	0.834
2015/04/16	17:35:48	0.708
2015/04/16	17:40:48	0.873
2015/04/16	17:45:48	1.08
2015/04/16	17:50:48	1.186
2015/04/16	17:55:48	1.262
2015/04/16	18:00:48	1.459
2015/04/16	18:05:48	1.546
2015/04/16	18:10:48	1.643
2015/04/16	18:15:48	1.81
2015/04/16	18:20:48	1.848
2015/04/16	18:25:48	1.828
2015/04/16	18:30:48	1.838
2015/04/16	18:35:48	1.595
2015/04/16	18:40:48	1.769
2015/04/16	18:45:48	1.433
2015/04/16	18:50:48	1.416
2015/04/16	18:55:48	1.343
2015/04/16	19:00:48	1.298
2015/04/16	19:05:48	1.252
2015/04/16	19:10:48	1.23
2015/04/16	19:15:48	1.173
2015/04/16	19:20:48	1.152
2015/04/16	19:25:48	1.142
2015/04/16	19:30:48	1.14
2015/04/16	19:35:48	1.125
2015/04/16	19:40:48	1.078
2015/04/16	19:45:48	1.022
2015/04/16	19:50:48	0.996
2015/04/16	19:55:48	0.985
2015/04/16	20:00:48	0.975
2015/04/16	20:05:48	0.953
2015/04/16	20:10:48	0.94
2015/04/16	20:15:48	0.937
2015/04/16	20:20:48	0.918
2015/04/16	20:25:48	0.936
2015/04/16	20:30:48	0.925
2015/04/16	20:35:48	0.926
2015/04/16	20:40:48	0.921
2015/04/16	20:45:48	0.914
2015/04/16	20:50:48	0.901
2015/04/16	20:55:48	0.909
